column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
r-EPHA,EPHA,r,21.353479034469263,21.8476598540084,-0.4941808195391353,-0.0330076167226931,-0.11090970632952102,5.2615613670900464e-188,8.075884889021932e-188,0.11090970632952102
r-IL4,IL4,r,0.13426295789803241,0.17627181860963412,-0.0420088607116017,-0.3927405088463503,-0.11090873847870342,5.3010227622098063e-188,8.10503866345592e-188,0.11090873847870342
r-CALCR,CALCR,r,0.10655329886141728,0.10351801309503357,0.003035285766383705,0.04169342696890326,0.11059201412411435,6.092027691175194e-187,9.278626791174527e-187,0.11059201412411435
s-SN,SN,s,0.018804382099609274,0.02017347601079153,-0.0013690939111822564,-0.10139078407437718,-0.1089231957433976,2.0991650765297218e-181,3.184940116114061e-181,0.1089231957433976
s-SEMA5,SEMA5,s,0.8164527865497746,0.9296089949342478,-0.11315620838447316,-0.18725456746607266,-0.10825488786032811,3.280933400601913e-179,4.958968040604418e-179,0.10825488786032811
s-PVR,PVR,s,0.7369066802808186,0.7217100243337774,0.015196655947041227,0.03006263864130642,0.10824105117826921,3.6414869896670584e-179,5.482999421704012e-179,0.10824105117826921
r-SEMA7,SEMA7,r,1.086112851095528,0.992678119987753,0.093434731107775,0.12977611327301114,0.10768632192139171,2.3545429590884537e-177,3.5318144386326806e-177,0.10768632192139171
s-IL12,IL12,s,0.0067422551375829675,0.007696061642047591,-0.0009538065044646235,-0.19088910576974163,-0.10645239577039445,2.3235001008779655e-173,3.472098263953488e-173,0.10645239577039445
s-WNT,WNT,s,29.87429712781946,31.171898092267373,-1.2976009644479127,-0.06134123471470109,-0.1059837978831899,7.429692795687574e-172,1.106074566576045e-171,0.1059837978831899
r-RLN,RLN,r,0.01816792132462646,0.016270444443575685,0.0018974768810507761,0.15913969416698737,0.10475044619255436,6.310072502586917e-168,9.358759217319923e-168,0.10475044619255436
s-EPGN,EPGN,s,0.015460547970946214,0.01765893754600418,-0.002198389575057965,-0.19180708003974886,-0.10452674581284349,3.219271001118955e-167,4.756833270310097e-167,0.10452674581284349
r-THY1,THY1,r,0.28209331015534045,0.28325926559155357,-0.0011659554362131175,-0.005950695466104683,0.10408801434963388,7.78744008157258e-166,1.1464038186999038e-165,0.10408801434963388
s-LHB,LHB,s,0.00325374043806601,0.004097240932280601,-0.0008435004942145912,-0.33255347269582314,-0.1032066120038373,4.5034888013999566e-163,6.605116908719937e-163,0.1032066120038373
s-PTN,PTN,s,6.624916947297905,6.765154608117135,-0.1402376608192304,-0.030220536890986405,-0.10206911522874285,1.5262718447288368e-159,2.2302717731092962e-159,0.10206911522874285
s-FLT3,FLT3,s,0.06569479892243413,0.06326456937454786,0.00243022954788627,0.05438139526859792,0.10050924808111161,9.142261334291245e-155,1.3310056942571078e-154,0.10050924808111161
s-AGT,AGT,s,0.0037671042435958304,0.004948664648923261,-0.0011815604053274304,-0.3935832322391324,-0.10007757512725979,1.8628672735196765e-153,2.7021811000505193e-153,0.10007757512725979
s-IL17,IL17,s,0.08766835086322652,0.09191630293897884,-0.00424795207575232,-0.06826466069351753,-0.09910962228551046,1.5319828681081097e-150,2.2141066269007716e-150,0.09910962228551046
s-CD226,CD226,s,1.4540201115289981,1.401220045095856,0.05280006643314206,0.05336369242752047,0.09672012270032138,1.8217546811758734e-143,2.6233267408932577e-143,0.09672012270032138
s-MK,MK,s,3.448213449882806,3.598975939741909,-0.1507624898591029,-0.06173737511556221,-0.09608205900638078,1.3202494743204697e-141,1.894270984894587e-141,0.09608205900638078
r-TAC,TAC,r,0.3196820769316476,0.3055156114326268,0.014166465499020786,0.0653917593767622,0.09529248759618292,2.544046970704644e-139,3.636976896747434e-139,0.09529248759618292
r-COMPLEMENT,COMPLEMENT,r,0.41763571361691904,0.46853676593577853,-0.0509010523188595,-0.16591717226848168,-0.09496596156911652,2.2127672162126263e-138,3.151999343957554e-138,0.09496596156911652
r-HH,HH,r,0.16633229280763825,0.1558243920250448,0.010507900782593449,0.09414720536713296,0.09407705355401674,7.691754867451271e-136,1.0917329489285674e-135,0.09407705355401674
s-EPHA,EPHA,s,21.353479034469267,21.8476598540084,-0.49418081953913173,-0.03300761672269277,-0.09288925151482208,1.7553814703256258e-132,2.482610936603385e-132,0.09288925151482208
s-CALCR,CALCR,s,0.10655329886141726,0.10351801309503356,0.003035285766383705,0.04169342696890326,0.09200996869797651,5.046923916715595e-130,7.112391000068952e-130,0.09200996869797651
s-EDA,EDA,s,0.0293528111468568,0.030674900277333345,-0.0013220891304765447,-0.06355997340447898,-0.09151168269927323,1.2189637052054566e-128,1.7117362668842583e-128,0.09151168269927323
r-VISFATIN,VISFATIN,r,1.3756112746854812,1.3858651116285576,-0.010253836943076466,-0.010713999046773937,-0.09116358361756327,1.1160383127444887e-127,1.5616649181866342e-127,0.09116358361756327
r-APELIN,APELIN,r,0.009494801048281275,0.013230726798962297,-0.003735925750681022,-0.47868259603093744,-0.09092299548191984,5.1311400161102346e-127,7.154688191477651e-127,0.09092299548191984
s-GIPR,GIPR,s,0.01627600634806156,0.014188222833247005,0.0020877835148145566,0.19805284134722917,0.09036438608997455,1.744983121542167e-125,2.4246081267743794e-125,0.09036438608997455
s-MHC-II,MHC-II,s,0.13791327149299162,0.14819871005987534,-0.010285438566883714,-0.103771594463773,-0.0887655856955657,3.744096494251794e-121,5.184133607425561e-121,0.0887655856955657
r-CRH,CRH,r,0.06479163615284757,0.07025366698353072,-0.005462030830683154,-0.11676593898508839,-0.08832671176618634,5.609065871483635e-120,7.739338275635957e-120,0.08832671176618634
s-IL1,IL1,s,0.04112361096907268,0.05750501090466467,-0.01638139993559199,-0.483720716124504,0.08747802241036973,1.0131541402370411e-117,1.3930869428259316e-117,0.08747802241036973
s-AGRN,AGRN,s,0.8149107074115503,0.8339291703568573,-0.01901846294530707,-0.033282866844462175,-0.08739195538025746,1.7113055012083125e-117,2.3449030397179644e-117,0.08739195538025746
s-CD34,CD34,s,0.02066893308667085,0.022590307511119456,-0.0019213744244486047,-0.1282399836961364,0.08568815649962058,4.9432771949267963e-113,6.750130238589694e-113,0.08568815649962058
s-RLN,RLN,s,0.01816792132462646,0.01627044444357568,0.0018974768810507796,0.15913969416698764,0.08566392162544445,5.712587003773236e-113,7.773829737093476e-113,0.08566392162544445
