column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
s-COLLAGEN,COLLAGEN,s,39.502441582294296,36.60186378535337,2.9005777969409223,0.1100247135612355,0.08767033930456192,1.0127740178615805e-44,1.6780690839882253e-44,0.08767033930456192
r-PTH,PTH,r,0.14204000038755196,0.11563159870798279,0.026408401679569177,0.2967615693369198,0.08694788834467437,5.13673420111623e-44,8.475611431841779e-44,0.08694788834467437
r-SELE,SELE,r,0.03705585056237344,0.035293313723351434,0.0017625368390220067,0.07030644594422225,0.08553667490284389,1.178938886877342e-42,1.9371775900557155e-42,0.08553667490284389
s-NEGR,NEGR,s,2.953189351643372,2.8619346472873013,0.09125470435607053,0.04528313339758537,0.08533903704820589,1.8210004767647128e-42,2.979818961978621e-42,0.08533903704820589
r-NEGR,NEGR,r,2.953189351643372,2.8619346472873013,0.09125470435607053,0.04528313339758537,0.0853296831909025,1.8588134754372173e-42,3.029177515527317e-42,0.0853296831909025
r-LEP,LEP,r,0.07323554832994815,0.07805577438432632,-0.0048202260543781655,-0.0919612635007114,-0.08377439845912149,5.493838809849361e-41,8.916230199591586e-41,0.08377439845912149
s-TENASCIN,TENASCIN,s,4.133217755444493,3.959071842639022,0.17414591280547098,0.06210312576277373,0.08325440667908568,1.6811175766701042e-40,2.717234940250454e-40,0.08325440667908568
s-VWF,VWF,s,0.23951935636939822,0.1477408472231242,0.09177850914627403,0.6970734900434232,0.0828598240733085,3.91002873318542e-40,6.294192594883846e-40,0.0828598240733085
s-JAM,JAM,s,11.251973234241987,11.46280527430747,-0.21083204006548328,-0.026782129848657518,-0.08285508178621281,3.949801177133814e-40,6.332474761720609e-40,0.08285508178621281
r-CD22,CD22,r,0.007776666876115609,0.008067953122668397,-0.0002912862465527886,-0.053050754423406635,-0.08206097365233933,2.13338154883747e-39,3.4065286021759605e-39,0.08206097365233933
r-PVR,PVR,r,0.7857125115142163,0.7357014273647802,0.050011084149436114,0.09488114323535306,0.08071975150415622,3.551294758646554e-38,5.647842266763195e-38,0.08071975150415622
r-CD39,CD39,r,1.0924652954991076,1.0067018133431553,0.08576348215595231,0.11795103195724196,0.08038039222362192,7.18214066959723e-38,1.1376510820642011e-37,0.08038039222362192
r-BAG,BAG,r,0.004381039524878326,0.004439817756894219,-5.877823201589239e-05,-0.019227224077384503,-0.08015355890406961,1.1481283389507344e-37,1.811389729978051e-37,0.08015355890406961
r-OPIOID,OPIOID,r,1.2163137249144522,1.133404947899472,0.08290877701498012,0.10185198666322957,0.07954466748055666,4.018550210447144e-37,6.31486461641694e-37,0.07954466748055666
r-SEMATOSTATIN,SEMATOSTATIN,r,0.3321734743989833,0.3284570907407784,0.0037163836582049248,0.01623196109886719,0.07951716221540206,4.251577846940193e-37,6.6546435865150846e-37,0.07951716221540206
s-APELIN,APELIN,s,0.038099868089053565,0.018304249818710334,0.01979561827034323,1.05760731436998,0.07879480245334314,1.855595787650341e-36,2.892976109880059e-36,0.07879480245334314
s-NECTIN,NECTIN,s,5.2270116931501205,5.368089379246841,-0.1410776860967209,-0.038422306053484526,-0.0785396430881774,3.1127796418711065e-36,4.8339636791410124e-36,0.0785396430881774
s-CSPG4,CSPG4,s,0.038552404491734624,0.028620060642667786,0.009932343849066837,0.42979410106071103,0.0775917571754452,2.096274520006657e-35,3.2426746481352976e-35,0.0775917571754452
r-CX3C,CX3C,r,0.038891736987547915,0.038806420462611374,8.531652493654063e-05,0.003168306116172744,-0.07733535751980813,3.497788576799627e-35,5.389588624173744e-35,0.07733535751980813
r-TRH,TRH,r,0.006785002320321817,0.006769571868933616,1.543045138820056e-05,0.003284712853005851,0.07660699086076161,1.4840777443478645e-34,2.2778867703943966e-34,0.07660699086076161
s-GAS,GAS,s,1.362948987982068,1.2368055095235235,0.12614347845854446,0.1401129152409649,0.07492004990345191,4.0054157218729364e-33,6.1241105245624826e-33,0.07492004990345191
s-TSH,TSH,s,0.020681711196407614,0.02198850002519569,-0.001306788828788076,-0.08839362944610962,-0.07410182298379842,1.929754191842363e-32,2.9391640768060603e-32,0.07410182298379842
r-ICOS,ICOS,r,0.008301100328666553,0.004633995362381629,0.0036671049662849236,0.8410458435458141,0.07324456947328994,9.839940619003257e-32,1.492956507710839e-31,0.07324456947328994
r-MHC-II,MHC-II,r,0.21389211942727845,0.1740802940104073,0.039811825416871144,0.29713042942371926,-0.07315833888626777,1.1580015870400168e-31,1.750261940716972e-31,0.07315833888626777
s-MSTN,MSTN,s,0.12776744640855892,0.12234098452905758,0.00542646187950134,0.06261251024805867,-0.07294241890689068,1.739491275673332e-31,2.619157966413078e-31,0.07294241890689068
s-LHB,LHB,s,0.006236692325386754,0.004042491584364609,0.002194200741022145,0.6255361923615946,-0.07243932912445217,4.468513670154885e-31,6.702770505232327e-31,0.07243932912445217
s-CALCR,CALCR,s,0.21254617122024017,0.1679331539276603,0.044613017292579854,0.3398891887848933,0.07219370905217493,7.066307745072862e-31,1.0559463649240956e-30,0.07219370905217493
s-FSH,FSH,s,0.023906767454499368,0.013023316241752847,0.01088345121274652,0.8763221578490629,0.07207356503256368,8.836988983904887e-31,1.315581818656517e-30,0.07207356503256368
r-LIGHT,LIGHT,r,0.02869738205631354,0.014836973041526626,0.013860409014786915,0.9517222936379215,0.0717574247192323,1.5888293837053314e-30,2.3564660522371207e-30,0.0717574247192323
s-CD45,CD45,s,0.06321518030780518,0.04186622113934879,0.02134895916845639,0.5944843271549124,0.07111728283973018,5.171048707384839e-30,7.640803313897002e-30,0.07111728283973018
s-GIPR,GIPR,s,0.022852321395693296,0.015688069191565526,0.00716425220412777,0.5426728928487264,0.06998969464534999,4.030220140317721e-29,5.932963477939842e-29,0.06998969464534999
r-MSTN,MSTN,r,0.12776744640855892,0.12234098452905758,0.00542646187950134,0.06261251024805867,-0.0699683969124063,4.188292120485207e-29,6.142828443378304e-29,0.0699683969124063
s-THPO,THPO,s,0.01371740450540798,0.013916044604331303,-0.00019864009892332259,-0.020741674338946452,-0.0694380754582995,1.087583766683015e-28,1.5892367955958446e-28,0.0694380754582995
s-OPIOID,OPIOID,s,1.2163137249144522,1.133404947899472,0.08290877701498012,0.10185198666322957,0.06890960836004423,2.794804839286706e-28,4.068907045432116e-28,0.06890960836004423
s-OSM,OSM,s,0.18978395958386532,0.11128252992709904,0.07850142965676628,0.7701309325235263,0.06883587795541768,3.186347448510841e-28,4.621954540697044e-28,0.06883587795541768
r-TENASCIN,TENASCIN,r,4.133217755444493,3.959071842639022,0.17414591280547098,0.06210312576277373,0.06813846991930816,1.0937817657682236e-27,1.5807940848329071e-27,0.06813846991930816
